iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
MCO,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,86.372,38631,12.44277702,3104.692782,100,French,NA,NA,NA,NA,0,Never Colonized,13456,1,0,43.75274824,0,10.2,No
MNG,Mongolia,6691.482098,23586055802,0.08365,535.37392,1887.079569,19729735.68,260169830.3,18004.85121,72.12243902,3524788,1563902.297,2.253841565,69.263,Mongolian,Buddhists,51.1350975,40.82786942,1343558,0,Never Colonized,849912,17,9.09894466,46.95620389,1,19.8,No
MNE,Montenegro,12935.45227,8069536126,0.36328,764.41883,476.8681631,29315010.84,92358413.7,30601.42825,77.58780488,623831,13697.24375,45.54427235,68.84,"Montenegrin, Serbian",Christians,76.04615784,1.143437266,6951,0,Never Colonized,198609,3,61.48698885,42.78800331,1,13.9,No
MAR,Morocco,3993.387451,1.54431E+11,0.66036,1083.42555,41258.1158,1019800528,771669433.6,9842.888672,75.313,38081173,583706.1925,65.24031009,65.643,Moroccan Arabic,Muslims,99.67552185,0.130789146,47848,1,Multiple,2029580,8,12.89033542,29.76685914,NA,2.2,No
MOZ,Mozambique,647.2857995,22416650343,0.30814,44.41136,1538.043827,69074666.37,2927378418,1677.681023,63.611,34631766,792438.6469,43.70277262,39.326,Portuguese,Christians,61.33995056,14.28753757,4398231,1,Portugal,1021629,13,46.41217312,-17.19585754,36,29.5,No
MMR,Myanmar,1359.259614,74079772652,0.02376,28.00891,1526.488144,17601353.98,1140740967,5953.357352,66.889,54500091,664254.3358,82.04702335,32.47,Burmese,Buddhists,89.05110168,0.058647044,31093,1,Unknown,483787,19,43.29014663,21.11290689,95,6.6,No
NAM,Namibia,4413.127442,13372354269,0.64647,224.81068,681.2058106,86448258.64,271632598.9,11251.23703,67.385,3030131,826494.5024,3.666244592,55.795,Kwanyama,Christians,90.53588104,5.631341934,153666,1,Multiple,2930964,12,7.977614206,-22.06969001,51,39.9,No
NRU,Nauru,13421.83306,160350639.5,NA,NA,NA,NA,37581523.9,13829.91894,62.109,11947,27.85667921,428.8738048,100,Nauruan,NA,NA,NA,NA,1,Multiple,5825,0,0,-0.519126378,1,0,No
NPL,Nepal,1447.310045,42914268287,0.3022,NA,NA,129686918.8,1173136841,5395.208201,70.354,29651054,147523.4244,200.9921754,22.366,Nepali,Hindus,81.18401337,0.001294779,375,0,Never Colonized,1969234,12,41.59072201,28.25804251,18,23.6,No
NLD,Netherlands,68218.7261,1.22754E+12,2.25533,6319.17518,113708.7358,27685166411,NA,78305.28884,81.91463415,17994237,37216.26222,483.5046812,93.453,Dutch,Religiously_unaffiliated,54.11624146,54.11624146,9544336,0,Never Colonized,138473892,5,11.00198099,52.2269196,0,22.5,No
NCL,New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,78.766,292639,18708.06596,15.64239728,73.106,French,Christians,85.1028595,10.52397442,29907,NA,Unknown,1349621,2,45.8380744,-21.30088607,133,59.7,No
NZL,New Zealand,48747.01369,2.60236E+11,1.46569,5094.76159,27198.38475,3814252040,NA,53854.19963,83.00487805,5338500,267464.3213,19.95967153,87.091,English,Religiously_unaffiliated,51.35481262,51.35481262,2603635,1,Britain,19215014,12,37.63065094,-41.70233373,169,33.4,Yes
NIC,Nicaragua,2847.539663,19693982968,0.10742,NA,NA,21155276.5,581782470.7,8319.979441,74.947,6916140,129534.474,53.392273,60.155,Spanish,Christians,84.80610657,13.30416298,873454,1,Spain,2424958,9,27.48487618,12.84499272,14,21.3,Yes
NER,Niger,722.7486503,19537639288,NA,26.93895,728.2247952,NA,1282570190,1875.153068,61.183,27032412,1187697.315,22.76035456,17.232,Hausa,Muslims,98.13329315,1.2242167,290355,1,France,112348,6,0.842567301,17.41200796,0,18.2,No
NGA,Nigeria,806.9456951,1.8776E+11,0.28444,22.12011,5146.895648,534063699.5,3596401367,6207.421378,54.462,232679478,913593.7509,254.6859343,55.03,Hausa,Muslims,56.06650925,0.379311502,811712,1,Britain,1287758,14,23.5664877,9.59094557,19,13.9,No
MKD,North Macedonia,9310.0279,16685236492,0.39502,922.47062,1653.232473,65910021.19,414461212.2,24390.46038,75.31609756,1792179,25420.81768,70.50044661,59.868,NA,Christians,64.68531799,0.515654862,9653,0,Never Colonized,195937,4,39.71015067,41.59519156,0,15.4,No
MNP,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,78.808,44278,394.4154048,112.2623494,92.171,Chamorro,NA,NA,NA,NA,NA,Unknown,297663,1,52.95652174,15.817114,7,2.8,No
NOR,Norway,86809.72469,4.83727E+11,1.55752,7394.79171,41205.79079,7534150973,NA,100437.3267,83.11219512,5572272,NA,NA,84.318,Norwegian,Christians,71.42243958,22.4515419,1207730,0,Never Colonized,60181469,NA,33.45814918,NA,0,17.7,No
OMN,Oman,20248.41681,1.06943E+11,0.36729,655.14938,3460.196346,392790147.1,NA,41851.18796,80.031,5281538,312767.3958,16.88647241,88.998,Arabic,Muslims,81.78730011,0.140269518,6344,0,Never Colonized,742855,9,0.007862036,20.58577513,20,3.9,Yes
PAK,Pakistan,1484.749859,3.73072E+11,0.16375,473.71632,119030.3037,610905163.8,3963701660,6036.641925,67.649,251269164,875728.4954,286.9258741,38.365,Panjabi,Muslims,96.54430389,0.012734034,29925,1,Britain,1087335,19,4.779680365,29.88394535,34,12.3,No
PLW,Palau,NA,NA,NA,NA,NA,NA,28785337.45,17531.69265,69.269,17695,341.3140305,51.84375215,82.839,Palauan,NA,NA,NA,NA,1,Multiple,284674,1,90.19565217,7.286684737,24,44.2,No
PAN,Panama,19102.85219,86260400000,0.15791,253.27142,1143.666599,136213797.6,410184387.2,39803.31895,79.594,4515577,74409.6203,60.68539231,69.888,Spanish,Christians,91.15790558,6.21044302,266631,1,Spain,10201147,9,56.65170262,8.520232995,104,31.4,Yes
PNG,Papua New Guinea,3076.487862,32538480024,0.03158,33.15884,350.7045376,10275651.99,691091125.5,4667.835671,66.134,10576502,465327.9146,22.72913717,13.88,Tok Pisin,Christians,99.08984375,0.310512781,30479,1,Britain,2682185,16,79.10221702,-6.46858139,605,3.7,No
PRY,Paraguay,6416.09709,44458118400,0.11944,133.19638,922.9380961,53100776.62,223693115.2,17564.49124,73.844,6929153,401803.2524,17.24513915,63.489,"Guarani, Paraguayan",Christians,93.52775574,4.247684002,280506,1,Spain,1815019,7,39.82614322,-23.20890934,7,14.3,No
PER,Peru,8452.37167,2.89222E+11,0.16178,NA,NA,467903301.5,586267578.1,17011.2278,77.74,34217848,1299180.746,26.33801964,79.139,Spanish,Christians,94.49199677,5.106701851,1676968,1,Spain,12253102,17,56.37307289,-9.107149627,640,22.5,Yes
PHL,Philippines,3984.831539,4.61618E+11,0.32222,170.21271,19718.06501,1487423940,1842688843,10985.82926,69.833,115843670,290958.9311,398.1444033,48.614,Tagalog,Christians,91.46120453,0.041135743,46105,1,Spain,3764673,10,24.22604554,11.72934323,746,15.9,No
POL,Poland,25022.67164,9.14696E+11,1.45383,3721.07204,136022.6981,13298131113,NA,46757.54018,78.50731707,36554707,313244.1205,116.6971848,60.33,Polish,Christians,91.18841553,8.645580292,3300105,0,Never Colonized,18085482,4,31.01927475,52.11183561,0,39.6,No
PRT,Portugal,28844.49792,3.08683E+11,1.70179,5686.65428,60856.50416,5253141827,NA,47426.48809,82.2804878,10701636,90961.92025,117.6496271,68.423,Portuguese,Christians,85.07437134,13.78093719,1429155,0,Never Colonized,22381859,6,36.15499489,39.60621031,9,22.9,No
PRI,Puerto Rico (US),39285.01746,1.25842E+11,0.42883,332.37777,1064.704049,539646104.5,NA,47433.23763,81.69,3203295,8963.46294,357.3724822,93.664,NA,NA,NA,NA,NA,NA,Unknown,3451090,3,56.01127396,18.22857994,77,6.7,No
QAT,Qatar,76275.90768,2.17983E+11,0.68058,947.77921,2708.584277,1483548477,NA,128918.5493,82.368,2857822,11099.23057,257.4792894,99.387,Arabic,Muslims,75.89176178,0.273621351,7671,1,Britain,175305,2,0,25.30486236,0,15.8,Yes
ROU,Romania,20072.40792,3.82768E+11,0.45881,998.72545,19045.03517,1756175894,NA,45776.83764,76.60731707,19069340,236299.0227,80.70003754,54.88,Romanian,Christians,98.54199982,0.939600706,182212,0,Never Colonized,1703999,6,30.11582928,45.84841398,2,24.5,No
RUS,Russian Federation,14889.01855,2.17384E+12,0.92527,2683.9498,385237.6507,20113850568,NA,44268.73047,73.25463415,143533851,16913027.07,8.486585541,75.548,Russian,NA,NA,NA,NA,0,Never Colonized,19023403,50,49.7843605,66.03172193,27,11.4,No
RWA,Rwanda,999.6545614,14251642231,0.79445,133.11989,1897.832631,113222171.7,1387333130,3399.451746,67.785,14256567,25442.4108,560.3465454,18.081,Rwanda,Christians,97.03359985,1.007935405,131695,1,Multiple,552296,3,11.2282124,-1.99032495,6,9.1,No
WSM,Samoa,4898.771408,1068025244,NA,NA,NA,NA,117172477.7,7037.086617,71.698,218019,2707.799999,80.51517841,17.42,Samoan,Christians,97.63423157,0.064215787,136,1,Multiple,104780,1,57.98201439,-13.75340088,10,8.2,No
SMR,San Marino,NA,NA,NA,NA,NA,NA,NA,NA,85.706,33977,68.41198216,496.6527635,97.932,Italian,NA,NA,NA,NA,0,Never Colonized,3971,1,16.66666667,43.94186524,0,NA,No
STP,Sao Tome and Principe,3244.828997,764274042.7,NA,NA,NA,NA,86840171.81,6149.981461,69.718,235536,988.0681392,238.3803208,77.014,Portuguese,Christians,84.43590546,9.693238258,21076,1,Portugal,178256,1,53.41666667,0.443840092,57,29.3,No
SAU,Saudi Arabia,35057.22523,1.23753E+12,0.56486,1120.62603,39558.41263,6990311205,NA,71564.80003,78.732,35300280,1930156.697,18.28881565,85.171,Arabic,Muslims,92.69380188,0.112103462,34742,0,Never Colonized,673981,14,0.454484135,24.08655799,5,15.6,Yes
SEN,Senegal,1743.988884,32267254425,0.5772,572.42133,10590.93029,186246592.5,1859611206,4777.614519,68.683,18501984,197769.6708,93.55319207,50.08,Wolof,Muslims,97.55647278,0.020703293,3476,1,Multiple,891350,4,41.69822885,14.36481109,2,26.4,No
SRB,Serbia,13523.72468,89083506277,0.95005,2515.31463,16568.88556,846337851.4,578221740.7,28748.38329,76.22097561,6587202,77663.53604,84.81717851,57.371,Serbian,Christians,91.5355072,4.008869648,276925,0,Never Colonized,1620961,4,32.38125818,44.21131983,0,8.1,No
SYC,Seychelles,17858.82264,2167239562,0.2017,NA,NA,4371322.197,NA,31780.78383,74.95853659,121354,174.7596911,694.4049811,59.242,Seselwa,Christians,93.95184326,2.360452175,2839,1,Multiple,509318,1,73.26086957,-4.660989752,47,61.5,No
SLE,Sierra Leone,873.3885752,7547843281,NA,NA,NA,NA,497800445.6,3371.347542,61.786,8642022,72036.82659,119.9667227,44.779,Krio,Muslims,80.14663696,0.012038952,953,1,Britain,167524,4,34.84552508,8.562492325,0,12.7,No
SGP,Singapore,90674.06663,5.47387E+11,2.15626,7916.99926,47793.81615,11803079291,NA,143786.1363,82.89512195,6036860,486.0438253,12420.40262,100,Mandarin,Buddhists,30.80149078,19.89608192,1118190,1,Britain,2109632,1,21.43454039,1.35876224,2,5.6,No
SXM,Sint Maarten (Dutch part),40027.9176,1735210228,NA,NA,NA,NA,NA,49826.11463,76.371,43350,41.92856409,1033.901374,100,NA,NA,NA,NA,NA,NA,Unknown,50307,1,10.88235294,18.05082253,0,0.7,No
SVK,Slovakia,26147.90284,1.41776E+11,0.97939,3387.47411,18367.11836,1388537356,NA,43949.85721,78.01707317,5422069,48447.5066,111.9163685,54.172,Slovak,Christians,73.74530029,25.32966995,1381739,0,Never Colonized,4486109,2,40.05615641,48.71128081,0,37.6,No
SVN,Slovenia,34089.35277,72485008929,2.09525,5370.37458,11419.15636,1518742150,NA,53952.20473,81.97804878,2126324,20239.51353,105.0580587,56.438,Slovenian,Christians,65.41543579,32.26738739,678396,0,Never Colonized,1116223,5,61.371114,46.11589048,0,40.4,No
SLB,Solomon Islands,2149.379573,1760767447,NA,NA,NA,NA,243661377,2800.823718,70.528,819198,25797.02215,31.7555257,26.488,Pijin,Christians,95.02237701,0.327515811,2438,1,Multiple,326955,2,90.11218292,-8.923117165,107,2,No
SOM,"Somalia, Fed. Rep.",636.9834776,12108515110,NA,NA,NA,NA,2281094971,1556.523088,58.816,19009151,474661.2824,40.04782295,48.519,NA,NA,NA,NA,NA,1,Multiple,102152,8,9.409969076,4.739406222,65,0,No
ZAF,South Africa,6253.371582,4.00261E+11,0.61729,444.16281,28429.61204,2470769425,1506946411,15194.19918,66.139,64007187,1224403.2,52.27623304,69.298,Zulu,Christians,85.25711823,3.122110128,1890824,1,Multiple,47981632,19,14.0250847,-28.97420851,256,9.3,No
SSD,South Sudan,NA,NA,NA,NA,NA,NA,1791723999,NA,57.617,11943408,625360.4454,19.09843849,21.56,English,Christians,60.50164413,0.440300107,47105,0,Never Colonized,35088,6,11.32562151,7.308696945,4,15.5,Yes
ESP,Spain,35297.0095,1.72275E+12,1.43532,3387.49657,165334.0092,24726917576,NA,53229.92202,83.88292683,48807137,507303.2366,96.20899982,81.802,Spanish,Christians,69.45676422,26.35974312,12568191,0,Never Colonized,84867232,10,37.17275211,40.20765398,38,28.1,Yes
LKA,Sri Lanka,4515.567873,98963185510,0.10506,94.4866,2070.768326,103970722.7,827259826.7,14455.65444,77.483,21916000,66196.84453,331.0731826,19.416,Sinhala,Buddhists,69.59994507,0.069881201,15766,1,Multiple,2987671,4,34.10701584,7.611038185,293,29.9,No
KNA,St. Kitts and Nevis,22771.41689,1066681481,NA,NA,NA,NA,NA,34367.80266,72.145,46843,233.4609446,200.6459799,31.221,NA,NA,NA,NA,NA,1,Britain,61159,3,42.30769231,17.26457864,1,22.9,No
LCA,St. Lucia,14181.63034,2549062963,NA,NA,NA,NA,35849578.86,25974.50929,72.697,179744,552.6211434,325.2571896,19.306,NA,Christians,91.73370361,5.901278973,10519,1,Multiple,126603,3,34.04918033,13.894773,15,18.7,No
MAF,St. Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,80.224,26129,49.11811599,531.962586,NA,NA,NA,NA,NA,NA,NA,Unknown,90329,1,24.8,18.08889078,0,12.8,No
VCT,St. Vincent and the Grenadines,11501.22652,1157207407,NA,NA,NA,NA,21283741,19819.86903,71.23,100616,311.7879883,322.7064665,54.725,NA,Christians,86.31412506,7.863911629,8141,1,Unknown,89758,4,73.17948718,13.22467703,11,22.4,No
SDN,Sudan,989.3128662,49909807030,NA,NA,NA,NA,1390063232,2420.657959,66.331,50448963,1867226.687,27.01812445,36.752,Sudanese Arabic,Muslims,98.85551453,0.563212574,263523,1,Britain,207548,10,9.73608137,15.96796611,13,2.3,No
SUR,Suriname,7430.702192,4714267822,NA,NA,NA,NA,43524604.8,21135.54564,73.631,634431,145900.3436,4.348385922,66.533,Dutch,Christians,52.78678131,8.109276772,49654,1,Netherlands,829570,7,94.60014575,4.129848288,6,14.5,No
SWE,Sweden,57723.2345,6.10118E+11,3.40822,8623.7461,91150.48677,20794156585,NA,67258.8461,83.3097561,10569709,443967.5039,23.80739335,88.976,Swedish,Christians,60.7713089,28.90637589,2992876,0,Never Colonized,154054183,4,68.69966608,62.38365607,0,15.4,No
CHE,Switzerland,103669.872,9.36564E+11,3.30645,6021.39855,54397.92868,30967026926,NA,90505.99788,84.05609756,9034102,41299.24817,218.7473719,74.327,German,Christians,61.58049774,30.76514435,2658287,0,Never Colonized,32470609,3,32.20860332,46.79889643,0,12.1,No
SYR,Syrian Arab Republic,NA,NA,0.07306,139.93785,3452.652988,NA,9206277344,4650.066878,72.12,24672760,186389.0825,132.3723453,58.044,NA,NA,NA,NA,NA,1,France,404177,4,2.843108425,35.01677733,1,0.7,No
TJK,Tajikistan,1341.20229,14204575549,0.08969,NA,NA,12740083.81,530799865.7,4963.582953,71.79,10590927,142612.8825,74.26346632,28.523,Tajiki,Muslims,98.91412354,0.074550293,7268,0,Never Colonized,147142,8,3.060739246,38.53654903,2,22.3,No
TZA,Tanzania,1185.745483,78779864877,0.51456,19.31703,1324.37861,405369672.7,3056842041,4018.516602,66.995,68560157,947902.7712,72.32825885,38.136,Swahili,Christians,64.69165802,3.478159189,2120731,1,Multiple,3545200,18,51.11311809,-6.26824779,251,39.9,No
THA,Thailand,7345.13569,5.26411E+11,1.15902,1863.07585,133522.9405,6101211849,84968795.78,23519.2121,76.412,71668011,516871.5454,138.6572963,54.32,Thai,Buddhists,94.39245605,0.012629814,9048,0,Never Colonized,8222021,15,38.82831921,15.08258495,104,18.5,No
TLS,Timor-Leste,1343.14886,1881265333,NA,NA,NA,NA,259935394.3,4806.140143,67.689,1400638,15054.37609,93.03859503,32.842,Tetun,Christians,99.5353241,0.063858345,847,1,Portugal,105335,1,61.84936113,-8.829321658,1,16,No
TGO,Togo,1043.140929,9925732120,0.19074,41.39064,393.8417078,18932341.45,615510925.3,3071.512168,62.739,9515236,57267.39493,166.154511,45.064,Ewe,Christians,56.8842392,8.012784004,694686,1,Multiple,154354,3,22.17889318,8.520779785,2,28,No
TON,Tonga,NA,NA,NA,NA,NA,NA,129549209.6,7852.764981,72.895,104175,432.6251129,240.7973945,23.21,Tongan,Christians,97.76400757,0.581340015,614,1,Britain,174463,1,12.43055556,-20.42051276,5,12.6,No
TTO,Trinidad and Tobago,19314.71634,26428963758,0.0478,492.71552,674.1989056,12633044.68,NA,34620.38605,73.49,1368333,5113.750681,267.5791382,53.562,Trinidadian Creole,Christians,70.0174942,2.448547363,36264,1,Unknown,1440316,3,44.39961014,10.45717257,20,30.6,No
TUN,Tunisia,4350.371797,53409988745,0.74658,1703.91532,20919.15411,398748294,1225880737,14009.51923,76.508,12277109,157008.5761,78.19387515,70.88,Tunisian Arabic,Muslims,99.30379486,0.441310823,52843,1,France,312192,6,4.533084449,34.08895549,NA,7.9,No
TUR,Turkiye,15473.28726,1.32325E+12,1.32343,2478.67633,211973.0808,17512351106,1550410645,42326.16444,77.156,85518661,781555.4708,109.4211021,77.893,NA,NA,NA,NA,NA,0,Never Colonized,4615745,14,29.0741785,39.13701331,39,7,No
TKM,Turkmenistan,8571.607029,64239891739,0.14,NA,NA,89935848.44,36352214.81,19828.92485,70.073,7494498,471682.0735,15.88887605,54.524,Turkmen,Muslims,94.28793335,0.071888015,4996,0,Never Colonized,59354,8,8.782159045,39.12547071,1,3.2,No
TCA,Turks and Caicos Islands,37506.77984,1745378000,NA,NA,NA,NA,NA,35336.74035,78.008,46535,330.9675786,140.6028959,94.433,Turks and Caicos Islands Creole,NA,NA,NA,NA,NA,Unknown,88001,2,11.07368421,21.83062187,8,44.4,No
TUV,Tuvalu,NA,NA,NA,NA,NA,NA,68341110.23,6151.01047,67.105,9646,10.2737566,938.8970729,66.928,Tuvaluan,NA,NA,NA,NA,1,Britain,13225,0,33.33333333,-8.503450593,1,13.2,No
UGA,Uganda,1072.713698,53651874314,0.3109,12.44448,622.4118121,166803677.2,2256590576,3097.637024,68.252,50015092,243097.4383,205.7409257,27.389,Swahili,Christians,87.74430084,0.094881155,42181,1,Britain,2864134,8,11.45343756,1.274231547,7,16.1,No
UKR,Ukraine,5389.473145,1.90741E+11,0.32653,586.07925,22189.08993,622827448.5,38935210938,17665.34375,73.422,37860221,571431.8156,66.2550106,70.284,Ukrainian,Christians,83.42977142,15.14456844,6766595,0,Never Colonized,4494739,5,16.73455299,49.19560823,3,13,No
ARE,United Arab Emirates,49377.56434,5.37079E+11,1.49469,2606.78477,28353.94841,8027663551,NA,76110.38484,82.909,10876981,71434.73563,152.2645938,88.008,Arabic,Muslims,72.94023132,0.335835189,31731,1,Britain,1988290,6,4.467755562,23.90532033,1,19.4,Yes
GBR,United Kingdom,52636.78659,3.64383E+12,2.89711,4472.69458,309626.755,1.05566E+11,NA,57915.494,81.23809756,69226000,240147.7338,288.2642235,84.884,English,Christians,49.37041092,40.21815872,27087679,0,Never Colonized,202387711,4,13.22145538,54.01164975,1,27.8,Yes
USA,United States,85809.90038,2.92E+13,3.58623,4825.1804,1641096.873,1.04664E+12,NA,82304.62043,78.38536585,340110988,9460566.772,35.95038185,83.515,English,Christians,64.01000214,29.72999954,100914368,1,Britain,1260051523,92,33.86692641,44.74373159,529,12.9,Yes
URY,Uruguay,23906.5133,80961511074,0.62592,902.41575,3056.11035,506754290.1,NA,34470.93222,78.138,3386588,177959.93,19.03005918,95.852,Spanish,Religiously_unaffiliated,52.4098053,52.4098053,1781393,1,Multiple,2162643,4,11.72437436,-32.79134091,4,3.7,Yes
UZB,Uzbekistan,3161.700106,1.14965E+11,0.12527,542.07268,19710.77036,144017023.1,1200078857,11106.97159,72.388,36361859,448373.1481,81.09731628,50.626,Uzbek,Muslims,95.62223053,0.551984191,185391,0,Never Colonized,217200,8,8.431804617,41.77540075,1,9.5,No
VUT,Vanuatu,3542.810716,1161251868,NA,NA,NA,NA,150053588.9,3460.933714,71.477,327777,11317.08864,28.96301428,26.147,Bislama,Christians,83.50376129,1.366455793,4084,1,Multiple,227548,1,36.28383921,-16.21696903,22,4.2,No
VEN,Venezuela,NA,NA,0.69,179.95961,5111.85044,NA,405295074.5,NA,72.514,28405543,916363.2856,30.99812427,88.505,Spanish,Christians,88.11541748,9.727750778,2766969,1,Spain,5753832,25,52.34778074,7.122274077,385,56.9,Yes
VNM,Vietnam,4717.290287,4.76388E+11,0.42494,767.88667,77547.09791,2024364146,831187988.3,15033.87686,74.588,100987686,329674.5734,306.325371,40.195,Vietnamese,Religiously_unaffiliated,67.67364502,67.67364502,66373764,1,France,1375509,14,46.96116186,16.54429751,214,7.6,No
VIR,Virgin Islands (U.S.),NA,NA,NA,NA,NA,NA,NA,NA,80.5195122,104377,316.5237382,329.7604173,96.314,NA,NA,NA,NA,NA,NA,Unknown,506635,3,57.31428571,17.95456786,8,14.4,No
PSE,West Bank and Gaza,2592.305912,13711100000,0.45434,584.35347,3090.734325,62295011.74,3623873047,5950.020062,65.17,5289152,6347.492359,833.2663831,77.877,NA,NA,NA,NA,NA,NA,Unknown,673959,4,1.682987552,31.9152203,0,10,No
YEM,Yemen,NA,NA,NA,NA,NA,NA,4146491699,NA,69.295,40583164,455155.8498,89.16322622,40.477,Arabic,Muslims,99.86302185,0.061554585,22243,1,Britain,210304,12,1.039831809,15.91728068,59,0.8,Yes
ZMB,Zambia,1235.084665,26325775287,NA,NA,NA,NA,1421932007,4076.995087,66.349,21314956,757286.6982,28.14648145,46.914,Bemba,Christians,98.28038025,0.059753649,11389,1,Britain,1358036,9,60.03015012,-13.45552549,14,41.3,No
ZWE,Zimbabwe,2656.409377,44187704410,NA,95.1253,1582.349722,NA,791534362.8,3820.359922,62.775,16634373,391057.021,42.53695013,32.67,Shona,Christians,87.20018768,10.53988743,1636517,1,Britain,1820910,8,44.97482228,-18.99704681,9,28.3,No
