iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_research_gdp_pct,wb_researchers_per_million_people,wb_total_researchers_count,wb_total_research_spending_usd,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_pct_urban,main_language,main_religion,main_religion_pct,atheists_non_religious_pct,atheist_count,ever_colonized,colonizer,n_records_gbif,biome_diversity_count,forest_cover_pct,mean_latitude,endemic_tetrapods_total,terrestrial_protected_area_pct,is_main_english_spanish_arabic
CUB,Cuba,NA,NA,0.36012,1968.33703,21611.91346,NA,167148452.8,NA,78.085,10979783,109541.1201,100.2343502,77.657,Spanish,Christians,60.65393448,21.60783958,2414969,1,Spain,2475572,6,31.23314066,21.63793534,2,16.2,Yes
CUW,Curacao,NA,NA,NA,NA,NA,NA,NA,30715.57289,76.8,155900,430.638509,362.0205735,89.033,Papiamento,Christians,90.61946869,5.926228046,10965,NA,Unknown,450955,2,0.157657658,12.19551841,9,15.7,No
CYP,Cyprus,38654.16797,36333022329,0.74527,1727.63497,2346.615482,270779115.5,NA,57213.62109,81.648,1358282,5720.928985,237.4233282,67.082,Greek,Christians,67.7487793,6.57008934,85559,1,Britain,736477,1,18.66991342,34.91708734,8,38.7,No
CZE,Czechia,31706.62342,3.45037E+11,1.9642,4696.68437,51110.08957,6777210390,NA,53217.21917,79.87804878,10882164,78657.86718,138.3480685,74.738,NA,NA,NA,NA,NA,0,Never Colonized,8127396,4,34.70669802,49.73799668,0,22.2,No
DNK,Denmark,71851.75621,4.29457E+11,2.89051,8735.60064,52212.61514,12413508285,NA,73737.44754,81.85365854,5976992,42512.24297,140.5946048,88.626,Danish,Christians,76.90623474,16.63090706,969836,0,Never Colonized,66524555,2,15.7345,55.97498217,0,17,No
DJI,Djibouti,3496.471119,4086402719,NA,NA,NA,NA,222374710.1,7264.044905,65.987,1168722,21752.63308,53.72784048,78.732,Somali,Muslims,97.67207336,1.101313591,12172,1,France,40634,3,0.253377912,11.74830672,2,1.6,No
DMA,Dominica,10405.27878,688881481.5,NA,NA,NA,NA,52636611.94,20285.98217,71.132,66205,699.3821021,94.66213076,72.312,English,NA,NA,NA,NA,1,Multiple,140006,2,63.82666667,15.43943501,63,22,Yes
DOM,Dominican Republic,10875.66184,1.24282E+11,NA,20.03771,228.9820732,NA,663396301.3,25839.93567,73.72,11427557,48698.1389,234.6610622,85.011,Spanish,Christians,77.63658142,19.60108948,2157747,1,Spain,1131550,5,44.65307911,18.89511555,3,26.4,Yes
ECU,Ecuador,6874.70574,1.24676E+11,0.43839,400.26149,7258.933446,546567443.9,554708068.8,15918.51629,77.392,18135478,256239.1168,70.77560297,65.029,Spanish,Christians,88.52362061,8.391396523,1472360,1,Spain,14872538,11,50.06265099,-1.424109852,481,23.5,Yes
EGY,Egypt,3338.473714,3.8906E+11,1.03356,845.3181,98511.89883,4021167616,480069641.1,18524.8393,71.633,116538258,1005831.191,115.8626408,43.258,Arabic,Muslims,95.17256927,0.004652523,5086,1,Britain,820815,12,0.045185594,26.4598029,NA,13.1,Yes
SLV,El Salvador,5579.659692,35364960000,0.1428,57.61826,365.1956522,50501162.88,498810394.3,12679.57688,72.099,6338193,20437.37037,310.1276184,75.996,Spanish,Christians,87.10838318,11.88199902,740804,1,Spain,1487017,5,27.96235521,13.73986372,1,8.6,Yes
GNQ,Equatorial Guinea,6745.400132,12765777677,NA,NA,NA,NA,11663417.82,17411.50023,63.707,1892516,26703.35798,70.87183571,74.874,Spanish,Christians,88.68036652,4.98730135,85605,1,Multiple,161549,4,86.98966132,1.705405633,19,19.3,Yes
ERI,Eritrea,NA,NA,NA,NA,NA,NA,129190628.1,NA,68.624,3535603,123954.9361,28.52329332,43.911,Tigrigna,Muslims,51.66958237,1.061151981,34925,1,Multiple,36160,6,8.682254729,15.36112446,3,0,No
EST,Estonia,31170.09151,42764929169,1.78205,4654.85436,6386.395014,762092420.3,NA,46790.27002,78.4902439,1371986,45554.34046,30.11756917,70.019,Estonian,Christians,52.61386108,43.60287857,579774,0,Never Colonized,10213612,1,57.03859649,58.67290242,0,21.4,No
SWZ,Eswatini,3936.109692,4891883720,0.26754,137.91577,171.4047531,13087745.7,110430183.4,11322.22863,64.123,1242822,17030.08532,72.97802545,25.013,NA,Christians,93.2284317,6.155977249,73424,1,Britain,462769,3,28.99825581,-26.55754649,1,4.3,No
ETH,Ethiopia,NA,NA,0.27437,89.03843,11758.39432,NA,5401845703,3060.90503,67.315,132059767,1134318.062,116.4221672,23.661,Oromo,Christians,61.57827377,0.062328301,74119,0,Never Colonized,1314138,11,15.06018224,8.61440065,105,17,No
