iso3c,country,wb_gdp_per_capita,wb_gdp_total,wb_percent_gdp_for_research,wb_researchers_per_million_people,foreign_aid_oda,hdi_proxy_gdp,hdi_proxy_life,wb_population,area_total_km2,wb_population_density,wb_urbanisation_percent_urban,main_language_code,is_english_main,ever_colonized,n_records_gbif,biome_diversity_count,pa_coverage_pct,forest_cover_pct,mean_latitude,colonizer,wb_total_research_spending_usd,wb_total_researchers_count,open_knowledge_score
BIH,Bosnia and Herzegovina,8957.37294188215,28343394203.4694,0.19228,669.76765,307687896.728516,22512.434413542,77.85,3164253,51800.2901896077,61.085623042220334,50.708,NA,NA,0,24046,4,NA,42.7326171875,44.1714743328822,Never Colonized,54498678.374431,2119.31429581545,NA
BWA,Botswana,7695.2420641819,19400774882.4495,0.561,179.77334,284583099.365234,21012.1031973569,69.163,2521139,581926.304917768,4.332402537390473,73.49,NA,NA,1,52845,8,NA,26.7083090713391,-22.1652447870996,Britain,108838347.090542,453.23357863426,NA
BRA,Brazil,10280.3148624429,2179412080828.59,1.14526,903.20079,699971862.792969,21175.6186990185,75.848,211998573,8518415.1791144,24.88709091331705,88.016,NA,NA,1,8772030,48,NA,59.2704836243471,-10.6390487673327,Portugal,24959934796.8975,191477.278612473,NA
VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,77.276,39471,135.661472017199,290.9521724413834,50.171,NA,NA,NA,12522,2,NA,24.1333333333333,18.5258126951176,Unknown,NA,NA,NA
BRN,Brunei Darussalam,33417.8357740437,15463134387.2013,0.27764,506.18125,NA,85032.6008678781,75.327,462721,5684.77825323771,81.39649066108458,79.439,NA,NA,1,28462,4,NA,72.1062618595825,4.51968373655883,Unknown,42931846.3126257,234.22069418125,NA
BGR,Bulgaria,17412.4115085691,112211952703.831,0.75421,2557.19806,NA,37507.659899221,75.7073170731707,6444366,112670.100879559,57.19677136784351,77.037,NA,NA,0,130180,6,NA,35.9801031687546,42.7712410497898,Never Colonized,846313768.487564,16479.52023313,NA
BFA,Burkina Faso,987.321378101867,23250214909.5391,0.25126,46.5781,1436421997.07031,2754.71346543427,61.092,23548781,274297.331688303,85.85129448783553,33.166,NA,NA,1,41865,2,NA,22.5380116959064,12.270726248786,France,58418489.9817079,1096.8574762961,NA
BDI,Burundi,153.930217854023,2162378759.3467,0.21312,22.4816,621667724.609375,919.597971491806,63.651,14047786,27268.3313842847,515.1685228563721,15.16,NA,NA,1,38657,6,NA,10.8894080996885,-3.35921514381575,Multiple,4608461.61191969,315.8167057376,NA
CPV,Cabo Verde,5272.85253011419,2767599017.44874,0.06622,124.92558,101708351.135254,10300.4408938316,76.059,524877,3593.07634688637,146.08011334210568,68.412,NA,NA,1,41081,1,NA,11.4193548387097,15.9533055158382,Unknown,1832704.06935456,65.57056365366,NA
KHM,Cambodia,2627.8796974226,46352647034.7775,0.11823,30.38923,1581260620.11719,7430.73085709415,70.668,17638801,181769.850318879,97.03920077535541,26.035,NA,NA,1,39055,8,NA,44.825968728756,12.719494903029,France,54802734.5892174,536.02958051323,NA
