"name","iso_a3","area_km2","biome_count","pa_pct","forest_pct"
"Luxembourg","LUX",2617.75502915702,1,NA,NA
"Lithuania","LTU",64663.1052309198,2,NA,NA
"Liechtenstein","LIE",138.275214506868,2,NA,NA
"Libya","LBY",1630146.58162673,9,NA,NA
"Liberia","LBR",95879.3747436547,4,NA,NA
"Lesotho","LSO",30094.793699951,2,NA,NA
"Lebanon","LBN",10034.4652600742,2,NA,NA
"Latvia","LVA",64405.3548647813,1,NA,NA
"Laos","LAO",229459.540530332,9,NA,NA
"Kyrgyzstan","KGZ",199094.948957491,8,NA,NA
"Kuwait","KWT",17368.6011863324,2,NA,NA
"Kosovo","-99",10936.0333534956,3,NA,NA
"Kiribati","KIR",939.730988685511,3,NA,NA
"Kenya","KEN",596152.324075353,13,NA,NA
"Kazakhstan","KAZ",2718847.35683119,19,NA,NA
"Jordan","JOR",89059.0009162866,6,NA,NA
"Japan","JPN",370923.239652953,9,NA,NA
"Jamaica","JAM",10956.745471085,3,NA,NA
"Italy","ITA",300957.352027645,9,NA,NA
"Israel","ISR",22101.3482691828,7,NA,NA
"Palestine","PSE",6347.4923594308,4,NA,NA
"Ireland","IRL",68853.6151072866,2,NA,NA
"Iraq","IRQ",438435.296883341,8,NA,NA
"Iran","IRN",1626451.93994389,18,NA,NA
"Indonesia","IDN",1876354.9601209,38,NA,NA
"India","IND",3162896.29955248,48,NA,NA
"Iceland","ISL",101387.007543915,2,NA,NA
"Hungary","HUN",93167.1230077541,1,NA,NA
"Honduras","HND",113769.909134136,7,NA,NA
"Haiti","HTI",26865.0603818259,5,NA,NA
"Guyana","GUY",212422.536378843,8,NA,NA
"Guinea-Bissau","GNB",32127.5411478255,2,NA,NA
"Guinea","GIN",245474.11400427,5,NA,NA
"Guatemala","GTM",108724.463345349,12,NA,NA
"Grenada","GRD",286.714055163376,3,NA,NA
"Greece","GRC",130457.980265793,6,NA,NA
"Ghana","GHA",240102.209662357,5,NA,NA
"Germany","DEU",356962.181393857,5,NA,NA
"Georgia","GEO",69460.5759120515,4,NA,NA
"Gambia","GMB",10336.6848059325,3,NA,NA
"Gabon","GAB",261246.365202686,4,NA,NA
"France","-99",636466.719283301,19,NA,NA
"St. Pierre and Miquelon","SPM",205.692074498639,1,NA,NA
"Wallis and Futuna Is.","WLF",131.973367346214,1,NA,NA
"St-Martin","MAF",49.1181159909229,1,NA,NA
"St-Barthélemy","BLM",24.5782933791227,1,NA,NA
"Fr. Polynesia","PYF",2620.58750099638,3,NA,NA
"New Caledonia","NCL",18708.0659575107,2,NA,NA
"Fr. S. Antarctic Lands","ATF",6987.2102504425,1,NA,NA
"Åland","ALA",761.572961778099,1,NA,NA
"Finland","FIN",331232.397144355,3,NA,NA
"Fiji","FJI",18447.7450307305,2,NA,NA
"Ethiopia","ETH",1134318.061809,11,NA,NA
"Estonia","EST",45554.3404632875,1,NA,NA
"Eritrea","ERI",123954.936080523,6,NA,NA
"Eq. Guinea","GNQ",26703.3579841963,4,NA,NA
"El Salvador","SLV",20437.3703693427,5,NA,NA
"Egypt","EGY",1005831.19137677,12,NA,NA
"Ecuador","ECU",256239.116841957,11,NA,NA
"Dominican Rep.","DOM",48698.1389035675,5,NA,NA
"Dominica","DMA",699.382102070206,2,NA,NA
"Djibouti","DJI",21752.6330779312,3,NA,NA
"Greenland","GRL",2159634.7862199,3,NA,NA
"Faeroe Is.","FRO",1037.56561890264,1,NA,NA
"Denmark","DNK",42512.2429664655,2,NA,NA
"Czechia","CZE",78657.8671774883,4,NA,NA
"N. Cyprus","-99",3478.73351471769,1,NA,NA
"Cyprus","CYP",5720.92898530238,1,NA,NA
"Cuba","CUB",109541.120131636,6,NA,NA
"Croatia","HRV",54542.1723384422,4,NA,NA
"Côte d'Ivoire","CIV",323018.436860642,6,NA,NA
"Costa Rica","CRI",51628.7481513025,7,NA,NA
"Dem. Rep. Congo","COD",2339854.21739177,19,NA,NA
"Congo","COG",347650.698608557,5,NA,NA
"Comoros","COM",1589.52687664517,1,NA,NA
"Colombia","COL",1141985.57704875,33,NA,NA
"China","CHN",9392194.49430161,61,NA,NA
"Macao","MAC",22.7908744411478,1,NA,NA
"Hong Kong","HKG",1031.22789613952,1,NA,NA
"Chile","CHL",739086.266706654,12,NA,NA
"Chad","TCD",1273840.84897393,7,NA,NA
"Central African Rep.","CAF",622374.719765527,6,NA,NA
"Cabo Verde","CPV",3593.07634688637,1,NA,NA
"Canada","CAN",9894148.90362396,45,NA,NA
"Cameroon","CMR",466925.481188235,13,NA,NA
"Cambodia","KHM",181769.850318879,8,NA,NA
"Myanmar","MMR",664254.335828119,19,NA,NA
"Burundi","BDI",27268.3313842847,6,NA,NA
"Burkina Faso","BFA",274297.331688303,2,NA,NA
"Bulgaria","BGR",112670.100879559,6,NA,NA
