Country,BoundaryID,boundaryISO
Mongolia,MNG-ADM0-74336971,MNG
Northern Mariana Islands,MNP-ADM0-30081990,MNP
Mozambique,MOZ-ADM0-74581448,MOZ
Mauritania,MRT-ADM0-45414712,MRT
Montserrat,MSR-ADM0-1980395,MSR
Martinique,MTQ-ADM0-67621225,MTQ
Mauritius,MUS-ADM0-6221475,MUS
Malawi,MWI-ADM0-68747529,MWI
Malaysia,MYS-ADM0-87038898,MYS
Mayotte,MYT-ADM0-23144892,MYT
Namibia,NAM-ADM0-72404144,NAM
New Caledonia,NCL-ADM0-60653274,NCL
Niger,NER-ADM0-22259449,NER
Nigeria,NGA-ADM0-39225661,NGA
Nicaragua,NIC-ADM0-26293499,NIC
Niue,NIU-ADM0-98221342,NIU
Netherlands,NLD-ADM0-46637630,NLD
Norway,NOR-ADM0-63113933,NOR
Nepal,NPL-ADM0-63295607,NPL
Nauru,NRU-ADM0-75428603,NRU
New Zealand,NZL-ADM0-90488144,NZL
Oman,OMN-ADM0-13493377,OMN
Pakistan,PAK-ADM0-80972501,PAK
Panama,PAN-ADM0-86535646,PAN
Pitcairn Islands,PCN-ADM0-31937491,PCN
Peru,PER-ADM0-96739428,PER
Philippines,PHL-ADM0-24100683,PHL
Palau,PLW-ADM0-91809328,PLW
Papua New Guinea,PNG-ADM0-50406891,PNG
Poland,POL-ADM0-46201696,POL
Dem. People's Republic of Korea,PRK-ADM0-24118357,PRK
Portugal,PRT-ADM0-79933184,PRT
Paraguay,PRY-ADM0-89047665,PRY
State of Palestine,PSE-ADM0-62339095,PSE
French Polynesia,PYF-ADM0-99418368,PYF
Qatar,QAT-ADM0-15585745,QAT
Réunion,REU-ADM0-15068658,REU
Romania,ROU-ADM0-16175383,ROU
Russian Federation,RUS-ADM0-89588193,RUS
Rwanda,RWA-ADM0-41251308,RWA
Saudi Arabia,SAU-ADM0-44563762,SAU
Sudan,SDN-ADM0-86632940,SDN
Senegal,SEN-ADM0-83371676,SEN
Singapore,SGP-ADM0-21272760,SGP
Saint Helena,SHN-ADM0-31036641,SHN
Solomon Islands,SLB-ADM0-12472743,SLB
Sierra Leone,SLE-ADM0-89611731,SLE
El Salvador,SLV-ADM0-99076482,SLV
San Marino,SMR-ADM0-7152903,SMR
Somalia,SOM-ADM0-1309446,SOM
Serbia,SRB-ADM0-94879208,SRB
South Sudan,SSD-ADM0-54869323,SSD
Sao Tome and Principe,STP-ADM0-85558007,STP
Suriname,SUR-ADM0-90644646,SUR
Slovakia,SVK-ADM0-12407735,SVK
Slovenia,SVN-ADM0-8885693,SVN
Sweden,SWE-ADM0-32631220,SWE
Eswatini,SWZ-ADM0-58888499,SWZ
Seychelles,SYC-ADM0-56145704,SYC
Syrian Arab Republic,SYR-ADM0-73488105,SYR
Turks and Caicos Islands,TCA-ADM0-98428071,TCA
Chad,TCD-ADM0-68238479,TCD
Togo,TGO-ADM0-75638443,TGO
Thailand,THA-ADM0-76911100,THA
Tajikistan,TJK-ADM0-77803701,TJK
Turkmenistan,TKM-ADM0-79246564,TKM
Timor-Leste,TLS-ADM0-64751640,TLS
Tonga,TON-ADM0-98642404,TON
Trinidad and Tobago,TTO-ADM0-71565481,TTO
Tunisia,TUN-ADM0-74400859,TUN
Turkey,TUR-ADM0-4540299,TUR
Tuvalu,TUV-ADM0-95523829,TUV
Taiwan,TWN-ADM0-7377636,TWN
United Republic of Tanzania,TZA-ADM0-36199320,TZA
Uganda,UGA-ADM0-62106908,UGA
Ukraine,UKR-ADM0-60985579,UKR
Uruguay,URY-ADM0-38943091,URY
